"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_003";"03";"Oslo";"2018";344100.76;344100.76;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2019";344121.64;344015.35;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2020";344098.22;343906.52;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2021";344044.68;343744.15;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2022";344077.18;343614.28;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2023";344071.43;343478.66;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2024";344145.58;343417.19;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"Endring 2018-2024";NA;-683.570000000007;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2018";3685551.58;3685551.58;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2019";3685423.89;3684959.08;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2020";3684412.88;3683355.57;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2021";3685136.86;3682476.04;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2022";3685404.09;3681863.74;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2023";3685402.06;3681249.41;"Green";"Yellow"
"ENCREC_003";"11";"Rogaland";"2024";3685506.99;3680740.01;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"Endring 2018-2024";NA;-4811.56999999983;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2018";4211736.53;4211736.53;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2019";4211619.28;4211500.81;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2020";4211509.41;4211155.22;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2021";4211396.6;4210696.82;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2022";4211262.47;4210104.29;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2023";4211382.75;4209632.04;"Green";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2024";4211518.43;4209295.47;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"Endring 2018-2024";NA;-2441.06000000052;"Yellow";"Yellow"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2018";19789795.57;19789795.57;"Yellow";"Yellow"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2019";19789490.61;19789364.23;"Yellow";"Yellow"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2020";19789070.88;19788513.16;"Yellow";"Yellow"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2021";19788971.57;19787562.78;"Orange";"Orange"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2022";19789369.81;19787010.64;"Orange";"Orange"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2023";19789329.41;19786418.1;"Orange";"Orange"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2024";19789669.85;19786166;"Orange";"Orange"
"ENCREC_003";"18";"Nordland - Nordlánnda";"Endring 2018-2024";NA;-3629.5700000003;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2018";1704953.65;1704953.65;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2019";1704864.66;1704594.33;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2020";1704511.46;1703881.81;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2021";1704665.27;1703323.1;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2022";1704600.99;1702700.11;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2023";1704862.75;1702338.88;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2024";1705118.19;1702233.09;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"Endring 2018-2024";NA;-2720.55999999982;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2018";3139151.05;3139151.05;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2019";3138848.34;3138098.79;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2020";3138394.7;3136592.89;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2021";3137691.88;3134384.17;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2022";3138743.85;3133227.42;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2023";3138815.97;3132142.79;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2024";3139481.67;3131723.86;"Orange";"Yellow"
"ENCREC_003";"32";"Akershus";"Endring 2018-2024";NA;-7427.19000000041;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2018";11414414.04;11414414.04;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2019";11413784.58;11412410.99;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2020";11412491.94;11409115.3;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2021";11410530.67;11403858.34;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2022";11411885.53;11399956.24;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2023";11413484.53;11397653.14;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2024";11413735.83;11395601.34;"Orange";"Yellow"
"ENCREC_003";"33";"Buskerud";"Endring 2018-2024";NA;-18812.6999999993;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2018";23741490.64;23741490.64;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2019";23740696.69;23739483.23;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2020";23740203.38;23736982.51;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2021";23738781.71;23733060.12;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2022";23739841.34;23730197.36;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2023";23740074.55;23727567.81;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2024";23741099.31;23725963.02;"Orange";"Yellow"
"ENCREC_003";"34";"Innlandet";"Endring 2018-2024";NA;-15527.6199999973;"Yellow";"Yellow"
